Date,BTC,ETH,BNB,XRP,ADA,CRIX
2018-04-01,6844.22998,379.606995,11.0662,0.485081,0.150768,753.4675
2018-04-02,7083.799805,386.424988,12.6207,0.500688,0.156385,756.79
2018-04-03,7456.109863,416.893005,13.3607,0.558044,0.172447,812.9
2018-04-04,6853.839844,380.542999,12.1904,0.501631,0.155356,747.36
2018-04-05,6811.470215,383.231995,12.4536,0.495801,0.148758,737.85
2018-04-06,6636.319824,370.285004,12.2584,0.476431,0.144451,720.03
2018-04-07,6911.089844,385.313995,12.4557,0.487867,0.148794,727.5899999999999
2018-04-08,7023.52002,400.507996,12.1176,0.500398,0.156599,731.3699999999999
2018-04-09,6770.72998,398.526001,11.8683,0.491855,0.153106,735.15
2018-04-10,6834.759766,414.243011,12.0362,0.491931,0.156347,758.44
2018-04-11,6968.319824,430.540009,12.2309,0.539506,0.166029,775.33
2018-04-12,7889.25,492.94101,12.9525,0.628737,0.212233,863.03
2018-04-13,7895.959961,492.734985,13.5368,0.638087,0.200532,927.77
2018-04-14,7986.240234,501.477997,13.2444,0.632184,0.200853,922.47
2018-04-15,8329.110352,531.702026,13.0588,0.682534,0.22139,919.8199999999999
2018-04-16,8058.669922,511.147003,12.21,0.663297,0.256646,917.17
2018-04-17,7902.089844,502.894012,11.7694,0.656933,0.243724,916.45
2018-04-18,8163.419922,524.789001,12.2757,0.708932,0.260341,956.58
2018-04-19,8294.30957,567.888977,12.3526,0.791976,0.272358,996.71
2018-04-20,8845.830078,615.718018,12.5752,0.924465,0.301247,1062.34
2018-04-21,8895.580078,605.39502,13.3784,0.873103,0.29058,1087.995
2018-04-22,8802.459961,621.859985,12.8759,0.869995,0.285535,1100.8225
2018-04-23,8930.879883,642.547974,13.6253,0.876657,0.288473,1113.65
2018-04-24,9697.5,708.15802,15.266,0.934781,0.312875,1216.22
2018-04-25,8845.740234,615.416016,13.2909,0.800607,0.271654,1123.98
2018-04-26,9281.509766,662.809021,14.6536,0.852414,0.294295,1115.16
2018-04-27,8987.049805,647.031982,14.3291,0.813885,0.288489,1154.2
2018-04-28,9348.480469,683.677979,15.2001,0.863804,0.357874,1173.76
2018-04-29,9419.080078,688.880981,15.0562,0.872778,0.365057,1183.54
2018-04-30,9240.549805,669.924011,14.3121,0.837938,0.343318,1193.32
2018-05-01,9119.009766,673.612976,14.1643,0.841407,0.358693,1150.54
2018-05-02,9235.919922,687.148987,14.4092,0.859094,0.37242,1184.12
2018-05-03,9743.860352,779.54303,14.6526,0.884466,0.369709,1259.65
2018-05-04,9700.759766,785.624023,14.3295,0.895442,0.360182,1266.65
2018-05-05,9858.150391,816.119995,14.3687,0.905103,0.366338,1253.27
2018-05-06,9654.799805,792.310974,13.9426,0.871424,0.350021,1246.58
2018-05-07,9373.009766,753.724976,13.7025,0.832641,0.335176,1239.89
2018-05-08,9234.820313,752.856995,13.529,0.81397,0.328352,1214.74
2018-05-09,9325.179688,752.275024,14.6602,0.802043,0.323593,1217.53
2018-05-10,9043.94043,727.276978,13.8184,0.758237,0.297089,1187.95
2018-05-11,8441.490234,679.585999,12.9939,0.684948,0.260127,1105.15
2018-05-12,8504.889648,686.047974,12.9439,0.696735,0.270932,1123.265
2018-05-13,8723.94043,733.495972,13.1187,0.745748,0.28589,1132.3225000000002
2018-05-14,8716.790039,730.549011,12.8707,0.740898,0.273434,1141.38
2018-05-15,8510.379883,708.870972,12.5678,0.698588,0.260155,1102.71
2018-05-16,8368.830078,707.049988,12.2605,0.714081,0.256375,1063.62
2018-05-17,8094.319824,672.656982,12.465,0.66731,0.243664,1049.4
2018-05-18,8250.969727,694.367004,15.1354,0.680294,0.245544,1056.67
2018-05-19,8247.179688,696.530029,14.2457,0.676713,0.243271,1064.255
2018-05-20,8513.25,715.369019,14.1178,0.700244,0.256136,1068.0475000000001
2018-05-21,8418.990234,699.221985,14.7223,0.681587,0.24884,1071.84
2018-05-22,8041.779785,647.741028,13.9255,0.645567,0.224408,1036.64
2018-05-23,7557.819824,583.585022,12.6262,0.599594,0.202873,941.04
2018-05-24,7587.339844,601.755005,13.0003,0.631997,0.208989,952.61
2018-05-25,7480.140137,586.734009,13.008,0.611001,0.200655,928.33
2018-05-26,7355.879883,587.280029,12.7591,0.612708,0.196567,905.23
2018-05-27,7368.220215,572.66803,12.6058,0.607881,0.193557,893.6800000000001
