unique_id,ds,y
BNB,2018-04-01,11.0662
BNB,2018-04-02,12.6207
BNB,2018-04-03,13.3607
BNB,2018-04-04,12.1904
BNB,2018-04-05,12.4536
BNB,2018-04-06,12.2584
BNB,2018-04-07,12.4557
BNB,2018-04-08,12.1176
BNB,2018-04-09,11.8683
BNB,2018-04-10,12.0362
BNB,2018-04-11,12.2309
BNB,2018-04-12,12.9525
BNB,2018-04-13,13.5368
BNB,2018-04-14,13.2444
BNB,2018-04-15,13.0588
BNB,2018-04-16,12.21
BNB,2018-04-17,11.7694
BNB,2018-04-18,12.2757
BNB,2018-04-19,12.3526
BNB,2018-04-20,12.5752
BNB,2018-04-21,13.3784
BNB,2018-04-22,12.8759
BNB,2018-04-23,13.6253
BNB,2018-04-24,15.26
BNB,2018-04-25,13.2909
BNB,2018-04-26,14.6536
BNB,2018-04-27,14.3291
BNB,2018-04-28,15.2001
BNB,2018-04-29,15.0562
BNB,2018-04-30,14.3121
BNB,2018-05-01,14.1643
BNB,2018-05-02,14.4092
BNB,2018-05-03,14.6526
BNB,2018-05-04,14.3295
BNB,2018-05-05,14.3687
BNB,2018-05-06,13.9426
BNB,2018-05-07,13.7025
BNB,2018-05-08,13.53
BNB,2018-05-09,14.6602
BNB,2018-05-10,13.8184
BNB,2018-05-11,12.9939
BNB,2018-05-12,12.9439
BNB,2018-05-13,13.1187
BNB,2018-05-14,12.8707
BNB,2018-05-15,12.5678
BNB,2018-05-16,12.2605
BNB,2018-05-17,12.46
BNB,2018-05-18,15.1354
BNB,2018-05-19,14.2457
BNB,2018-05-20,14.1178
BNB,2018-05-21,14.7223
BNB,2018-05-22,13.9255
BNB,2018-05-23,12.6262
BNB,2018-05-24,13.0003
BNB,2018-05-25,13.00
BNB,2018-05-26,12.7591
BNB,2018-05-27,12.6058
BNB,2018-05-28,11.8943
BNB,2018-05-29,12.5717
BNB,2018-05-30,12.5709
BNB,2018-05-31,14.1902
BNB,2018-06-01,14.2408
BNB,2018-06-02,14.6797
BNB,2018-06-03,14.56
BNB,2018-06-04,14.2611
BNB,2018-06-05,15.5993
BNB,2018-06-06,17.247499
BNB,2018-06-07,16.2631
BNB,2018-06-08,16.2738
BNB,2018-06-09,15.9632
BNB,2018-06-10,14.1842
BNB,2018-06-11,15.3835
BNB,2018-06-12,15.2262
BNB,2018-06-13,14.5891
BNB,2018-06-14,14.8953
BNB,2018-06-15,15.0481
BNB,2018-06-16,15.8092
BNB,2018-06-17,16.5788
BNB,2018-06-18,16.8797
BNB,2018-06-19,16.6996
BNB,2018-06-20,16.061899
BNB,2018-06-21,17.053301
BNB,2018-06-22,15.5939
BNB,2018-06-23,15.5512
BNB,2018-06-24,14.4476
BNB,2018-06-25,14.9209
BNB,2018-06-26,14.12
BNB,2018-06-27,14.0501
BNB,2018-06-28,14.1246
BNB,2018-06-29,14.5086
BNB,2018-06-30,14.6573
BNB,2018-07-01,14.4041
BNB,2018-07-02,14.5706
BNB,2018-07-03,14.1715
BNB,2018-07-04,14.0055
BNB,2018-07-05,13.8505
BNB,2018-07-06,13.5296
BNB,2018-07-07,14.4048
BNB,2018-07-08,13.9919
BNB,2018-07-09,13.6645
BNB,2018-07-10,12.7613
BNB,2018-07-11,12.7049
BNB,2018-07-12,12.0706
BNB,2018-07-13,12.1801
BNB,2018-07-14,12.0965
BNB,2018-07-15,12.2891
BNB,2018-07-16,13.2373
BNB,2018-07-17,13.7128
BNB,2018-07-18,12.8648
BNB,2018-07-19,12.92
BNB,2018-07-20,12.0709
BNB,2018-07-21,12.1853
BNB,2018-07-22,12.1199
BNB,2018-07-23,12.0199
BNB,2018-07-24,12.1451
BNB,2018-07-25,12.9394
BNB,2018-07-26,13.3973
BNB,2018-07-27,13.9227
BNB,2018-07-28,14.6017
BNB,2018-07-29,14.0212
BNB,2018-07-30,13.2169
BNB,2018-07-31,13.7754
BNB,2018-08-01,13.5739
BNB,2018-08-02,14.1769
BNB,2018-08-03,14.1346
BNB,2018-08-04,13.8424
BNB,2018-08-05,13.6232
BNB,2018-08-06,13.6991
BNB,2018-08-07,13.1461
BNB,2018-08-08,12.1437
BNB,2018-08-09,12.86
BNB,2018-08-10,12.1308
BNB,2018-08-11,11.7366
BNB,2018-08-12,11.7418
BNB,2018-08-13,10.2282
BNB,2018-08-14,9.42011
BNB,2018-08-15,9.46301
