unique_id,ds,y
BTC,2021-01-01,29374.152344
BTC,2021-01-02,32127.267578
BTC,2021-01-03,32782.023438
BTC,2021-01-04,31971.914063
BTC,2021-01-05,33992.429688
BTC,2021-01-06,36824.363281
BTC,2021-01-07,39371.042969
BTC,2021-01-08,40797.609375
BTC,2021-01-09,40254.546875
BTC,2021-01-10,38356.441406
BTC,2021-01-11,35566.65625
BTC,2021-01-12,33922.960938
BTC,2021-01-13,37316.359375
BTC,2021-01-14,39187.328125
BTC,2021-01-15,36825.367188
BTC,2021-01-16,36178.140625
BTC,2021-01-17,35791.277344
BTC,2021-01-18,36630.074219
BTC,2021-01-19,36069.804688
BTC,2021-01-20,35547.75
BTC,2021-01-21,30825.699219
BTC,2021-01-22,33005.761719
BTC,2021-01-23,32067.642578
BTC,2021-01-24,32289.378906
BTC,2021-01-25,32366.392578
BTC,2021-01-26,32569.849609
BTC,2021-01-27,30432.546875
BTC,2021-01-28,33466.097656
BTC,2021-01-29,34316.386719
BTC,2021-01-30,34269.523438
BTC,2021-01-31,33114.359375
BTC,2021-02-01,33537.175781
BTC,2021-02-02,35510.289063
BTC,2021-02-03,37472.089844
BTC,2021-02-04,36926.066406
BTC,2021-02-05,38144.308594
BTC,2021-02-06,39266.011719
BTC,2021-02-07,38903.441406
BTC,2021-02-08,46196.464844
BTC,2021-02-09,46481.105469
BTC,2021-02-10,44918.183594
BTC,2021-02-11,47909.332031
BTC,2021-02-12,47504.851563
BTC,2021-02-13,47105.515625
BTC,2021-02-14,48717.289063
BTC,2021-02-15,47945.058594
BTC,2021-02-16,49199.871094
BTC,2021-02-17,52149.007813
BTC,2021-02-18,51679.796875
BTC,2021-02-19,55888.132813
BTC,2021-02-20,56099.519531
BTC,2021-02-21,57539.945313
BTC,2021-02-22,54207.320313
BTC,2021-02-23,48824.425781
BTC,2021-02-24,49705.332031
BTC,2021-02-25,47093.851563
BTC,2021-02-26,46339.761719
BTC,2021-02-27,46188.453125
BTC,2021-02-28,45137.769531
BTC,2021-03-01,49631.242188
BTC,2021-03-02,48378.988281
BTC,2021-03-03,50538.242188
BTC,2021-03-04,48561.167969
BTC,2021-03-05,48927.304688
BTC,2021-03-06,48912.382813
BTC,2021-03-07,51206.691406
BTC,2021-03-08,52246.523438
BTC,2021-03-09,54824.117188
BTC,2021-03-10,56008.550781
BTC,2021-03-11,57805.121094
BTC,2021-03-12,57332.089844
BTC,2021-03-13,61243.085938
BTC,2021-03-14,59302.316406
BTC,2021-03-15,55907.199219
BTC,2021-03-16,56804.902344
BTC,2021-03-17,58870.894531
BTC,2021-03-18,57858.921875
BTC,2021-03-19,58346.652344
BTC,2021-03-20,58313.644531
BTC,2021-03-21,57523.421875
BTC,2021-03-22,54529.144531
BTC,2021-03-23,54738.945313
BTC,2021-03-24,52774.265625
BTC,2021-03-25,51704.160156
BTC,2021-03-26,55137.3125
BTC,2021-03-27,55973.511719
BTC,2021-03-28,55950.746094
BTC,2021-03-29,57750.199219
BTC,2021-03-30,58917.691406
BTC,2021-03-31,58918.832031
BTC,2021-04-01,59095.808594
BTC,2021-04-02,59384.3125
BTC,2021-04-03,57603.890625
BTC,2021-04-04,58758.554688
BTC,2021-04-05,59057.878906
BTC,2021-04-06,58192.359375
BTC,2021-04-07,56048.9375
BTC,2021-04-08,58323.953125
BTC,2021-04-09,58245.003906
BTC,2021-04-10,59793.234375
BTC,2021-04-11,60204.964844
BTC,2021-04-12,59893.453125
BTC,2021-04-13,63503.457031
BTC,2021-04-14,63109.695313
BTC,2021-04-15,63314.011719
BTC,2021-04-16,61572.789063
BTC,2021-04-17,60683.820313
BTC,2021-04-18,56216.183594
BTC,2021-04-19,55724.265625
BTC,2021-04-20,56473.03125
BTC,2021-04-21,53906.089844
BTC,2021-04-22,51762.273438
BTC,2021-04-23,51093.652344
BTC,2021-04-24,50050.867188
BTC,2021-04-25,49004.253906
BTC,2021-04-26,54021.753906
BTC,2021-04-27,55033.117188
BTC,2021-04-28,54824.703125
BTC,2021-04-29,53555.109375
BTC,2021-04-30,57750.175781
BTC,2021-05-01,57828.050781
BTC,2021-05-02,56631.078125
BTC,2021-05-03,57200.292969
BTC,2021-05-04,53333.539063
BTC,2021-05-05,57424.007813
BTC,2021-05-06,56396.515625
BTC,2021-05-07,57356.402344
BTC,2021-05-08,58803.777344
BTC,2021-05-09,58232.316406
BTC,2021-05-10,55859.796875
BTC,2021-05-11,56704.574219
BTC,2021-05-12,49150.535156
BTC,2021-05-13,49716.191406
BTC,2021-05-14,49880.535156
BTC,2021-05-15,46760.1875
BTC,2021-05-16,46456.058594
BTC,2021-05-17,43537.511719
BTC,2021-05-18,42909.402344
BTC,2021-05-19,37002.441406
BTC,2021-05-20,40782.738281
BTC,2021-05-21,37304.691406
BTC,2021-05-22,37536.632813
BTC,2021-05-23,34770.582031
BTC,2021-05-24,38705.980469
BTC,2021-05-25,38402.222656
BTC,2021-05-26,39294.199219
BTC,2021-05-27,38436.96875
BTC,2021-05-28,35697.605469
BTC,2021-05-29,34616.066406
BTC,2021-05-30,35678.128906
BTC,2021-05-31,37332.855469
BTC,2021-06-01,36684.925781
BTC,2021-06-02,37575.179688
BTC,2021-06-03,39208.765625
BTC,2021-06-04,36894.40625
BTC,2021-06-05,35551.957031
BTC,2021-06-06,35862.378906
BTC,2021-06-07,33560.707031
BTC,2021-06-08,33472.632813
BTC,2021-06-09,37345.121094
BTC,2021-06-10,36702.597656
BTC,2021-06-11,37334.398438
BTC,2021-06-12,35552.515625
BTC,2021-06-13,39097.859375
BTC,2021-06-14,40218.476563
BTC,2021-06-15,40406.269531
BTC,2021-06-16,38347.0625
BTC,2021-06-17,38053.503906
BTC,2021-06-18,35787.246094
BTC,2021-06-19,35615.871094
BTC,2021-06-20,35698.296875
BTC,2021-06-21,31676.693359
BTC,2021-06-22,32505.660156
BTC,2021-06-23,33723.027344
BTC,2021-06-24,34662.4375
BTC,2021-06-25,31637.779297
BTC,2021-06-26,32186.277344
BTC,2021-06-27,34649.644531
BTC,2021-06-28,34434.335938
BTC,2021-06-29,35867.777344
BTC,2021-06-30,35040.835938
BTC,2021-07-01,33572.117188
BTC,2021-07-02,33897.046875
BTC,2021-07-03,34668.546875
BTC,2021-07-04,35287.78125
BTC,2021-07-05,33746.003906
BTC,2021-07-06,34235.195313
BTC,2021-07-07,33855.328125
BTC,2021-07-08,32877.371094
BTC,2021-07-09,33798.011719
BTC,2021-07-10,33520.519531
BTC,2021-07-11,34240.1875
BTC,2021-07-12,33155.847656
BTC,2021-07-13,32702.025391
BTC,2021-07-14,32822.347656
BTC,2021-07-15,31780.730469
BTC,2021-07-16,31421.539063
BTC,2021-07-17,31533.068359
BTC,2021-07-18,31796.810547
BTC,2021-07-19,30817.832031
BTC,2021-07-20,29807.347656
BTC,2021-07-21,32110.693359
BTC,2021-07-22,32313.105469
BTC,2021-07-23,33581.550781
BTC,2021-07-24,34292.445313
BTC,2021-07-25,35350.1875
BTC,2021-07-26,37337.535156
BTC,2021-07-27,39406.941406
BTC,2021-07-28,39995.90625
BTC,2021-07-29,40008.421875
BTC,2021-07-30,42235.546875
BTC,2021-07-31,41626.195313
BTC,2021-08-01,39974.894531
BTC,2021-08-02,39201.945313
BTC,2021-08-03,38152.980469
BTC,2021-08-04,39747.503906
BTC,2021-08-05,40869.554688
BTC,2021-08-06,42816.5
BTC,2021-08-07,44555.800781
BTC,2021-08-08,43798.117188
BTC,2021-08-09,46365.402344
BTC,2021-08-10,45585.03125
BTC,2021-08-11,45593.636719
BTC,2021-08-12,44428.289063
BTC,2021-08-13,47793.320313
BTC,2021-08-14,47096.945313
BTC,2021-08-15,47047.003906
BTC,2021-08-16,46004.484375
BTC,2021-08-17,44695.359375
BTC,2021-08-18,44801.1875
BTC,2021-08-19,46717.578125
BTC,2021-08-20,49339.175781
BTC,2021-08-21,48905.492188
BTC,2021-08-22,49321.652344
BTC,2021-08-23,49546.148438
BTC,2021-08-24,47706.117188
BTC,2021-08-25,48960.789063
BTC,2021-08-26,46942.21875
BTC,2021-08-27,49058.667969
BTC,2021-08-28,48902.402344
BTC,2021-08-29,48829.832031
BTC,2021-08-30,47054.984375
BTC,2021-08-31,47166.6875
BTC,2021-09-01,48847.027344
BTC,2021-09-02,49327.722656
BTC,2021-09-03,50025.37
BTC,2021-09-04,49944.62
BTC,2021-09-05,51753.410156
BTC,2021-09-06,52633.535156
BTC,2021-09-07,46811.128906
BTC,2021-09-08,46091.390625
BTC,2021-09-09,46391.421875
BTC,2021-09-10,44883.910156
BTC,2021-09-11,45201.457031
BTC,2021-09-12,46063.269531
BTC,2021-09-13,44963.074219
BTC,2021-09-14,47092.492188
BTC,2021-09-15,48176.347656
BTC,2021-09-16,47783.359375
BTC,2021-09-17,47267.519531
BTC,2021-09-18,48278.363281
BTC,2021-09-19,47260.21875
BTC,2021-09-20,42843.800781
BTC,2021-09-21,40693.675781
BTC,2021-09-22,43574.507813
BTC,2021-09-23,44895.097656
BTC,2021-09-24,42839.75
BTC,2021-09-25,42716.59375
BTC,2021-09-26,43208.539063
BTC,2021-09-27,42235.730469
BTC,2021-09-28,41034.542969
BTC,2021-09-29,41564.363281
BTC,2021-09-30,43790.894531
BTC,2021-10-01,48116.941406
BTC,2021-10-02,47711.488281
BTC,2021-10-03,48199.953125
BTC,2021-10-04,49112.902344
BTC,2021-10-05,51514.8125
BTC,2021-10-06,55361.449219
BTC,2021-10-07,53805.984375
BTC,2021-10-08,53967.847656
BTC,2021-10-09,54968.222656
BTC,2021-10-10,54771.578125
BTC,2021-10-11,57484.789063
BTC,2021-10-12,56041.058594
BTC,2021-10-13,57401.097656
BTC,2021-10-14,57321.523438
BTC,2021-10-15,61593.949219
BTC,2021-10-16,60892.179688
BTC,2021-10-17,61553.617188
BTC,2021-10-18,62026.078125
BTC,2021-10-19,64261.992188
BTC,2021-10-20,65992.835938
BTC,2021-10-21,62210.171875
BTC,2021-10-22,60692.265625
BTC,2021-10-23,61393.617188
BTC,2021-10-24,60930.835938
BTC,2021-10-25,63039.824219
BTC,2021-10-26,60363.792969
BTC,2021-10-27,58482.386719
BTC,2021-10-28,60622.136719
BTC,2021-10-29,62227.964844
BTC,2021-10-30,61888.832031
BTC,2021-10-31,61318.957031
