unique_id,ds,y
XRP,2018-04-01,0.485081
XRP,2018-04-02,0.500688
XRP,2018-04-03,0.558044
XRP,2018-04-04,0.501631
XRP,2018-04-05,0.495801
XRP,2018-04-06,0.476431
XRP,2018-04-07,0.487867
XRP,2018-04-08,0.500398
XRP,2018-04-09,0.491855
XRP,2018-04-10,0.491931
XRP,2018-04-11,0.539506
XRP,2018-04-12,0.628737
XRP,2018-04-13,0.638087
XRP,2018-04-14,0.632184
XRP,2018-04-15,0.682534
XRP,2018-04-16,0.663297
XRP,2018-04-17,0.656933
XRP,2018-04-18,0.708932
XRP,2018-04-19,0.791976
XRP,2018-04-20,0.924465
XRP,2018-04-21,0.873103
XRP,2018-04-22,0.869995
XRP,2018-04-23,0.876657
XRP,2018-04-24,0.934781
XRP,2018-04-25,0.800607
XRP,2018-04-26,0.852414
XRP,2018-04-27,0.813885
XRP,2018-04-28,0.863804
XRP,2018-04-29,0.872778
XRP,2018-04-30,0.837938
XRP,2018-05-01,0.841407
XRP,2018-05-02,0.859094
XRP,2018-05-03,0.884466
XRP,2018-05-04,0.895442
XRP,2018-05-05,0.905103
XRP,2018-05-06,0.871424
XRP,2018-05-07,0.832641
XRP,2018-05-08,0.81397
XRP,2018-05-09,0.802043
XRP,2018-05-10,0.758237
XRP,2018-05-11,0.684948
XRP,2018-05-12,0.696735
XRP,2018-05-13,0.745748
XRP,2018-05-14,0.740898
XRP,2018-05-15,0.698588
XRP,2018-05-16,0.714081
XRP,2018-05-17,0.66731
XRP,2018-05-18,0.680294
XRP,2018-05-19,0.676713
XRP,2018-05-20,0.700244
XRP,2018-05-21,0.681587
XRP,2018-05-22,0.645567
XRP,2018-05-23,0.599594
XRP,2018-05-24,0.631997
XRP,2018-05-25,0.611001
XRP,2018-05-26,0.612708
XRP,2018-05-27,0.607881
XRP,2018-05-28,0.552299
XRP,2018-05-29,0.601241
XRP,2018-05-30,0.605817
XRP,2018-05-31,0.612622
XRP,2018-06-01,0.623364
XRP,2018-06-02,0.643451
XRP,2018-06-03,0.671205
XRP,2018-06-04,0.661425
XRP,2018-06-05,0.677015
XRP,2018-06-06,0.674797
XRP,2018-06-07,0.678128
XRP,2018-06-08,0.674343
XRP,2018-06-09,0.659755
XRP,2018-06-10,0.588126
XRP,2018-06-11,0.604066
XRP,2018-06-12,0.562933
